QuestionType;Question;QuestionID;Answer
radio;The interactions with the other participant felt natural.;q1t17;3
radio;I felt that my walking path in the virtual environment accurately matched my physical movements.;q2t17;4
radio;I felt that my hand movements in the virtual environment accurately matched my physical movements.;q3t17;3
radio;The interactions with the other participant felt natural.;q1t18;2
radio;I felt that my walking path in the virtual environment accurately matched my physical movements.;q2t18;3
radio;I felt that my hand movements in the virtual environment accurately matched my physical movements.;q3t18;2
radio;The interactions with the other participant felt natural.;q1t19;5
radio;I felt that my walking path in the virtual environment accurately matched my physical movements.;q2t19;5
radio;I felt that my hand movements in the virtual environment accurately matched my physical movements.;q3t19;5
radio;The interactions with the other participant felt natural.;q1t20;5
radio;I felt that my walking path in the virtual environment accurately matched my physical movements.;q2t20;5
radio;I felt that my hand movements in the virtual environment accurately matched my physical movements.;q3t20;4
radio;The interactions with the other participant felt natural.;q1t21;5
radio;I felt that my walking path in the virtual environment accurately matched my physical movements.;q2t21;5
radio;I felt that my hand movements in the virtual environment accurately matched my physical movements.;q3t21;5
radio;The interactions with the other participant felt natural.;q1t22;5
radio;I felt that my walking path in the virtual environment accurately matched my physical movements.;q2t22;5
radio;I felt that my hand movements in the virtual environment accurately matched my physical movements.;q3t22;5
radio;The interactions with the other participant felt natural.;q1t23;5
radio;I felt that my walking path in the virtual environment accurately matched my physical movements.;q2t23;5
radio;I felt that my hand movements in the virtual environment accurately matched my physical movements.;q3t23;3
radio;The interactions with the other participant felt natural.;q1t24;5
radio;I felt that my walking path in the virtual environment accurately matched my physical movements.;q2t24;5
radio;I felt that my hand movements in the virtual environment accurately matched my physical movements.;q3t24;4

