QuestionType;Question;QuestionID;Answer
radio;The interactions with the other participant felt natural.;q1t0;4
radio;I felt that my walking path in the virtual environment accurately matched my physical movements.;q2t0;4
radio;I felt that my hand movements in the virtual environment accurately matched my physical movements.;q3t0;3
radio;The interactions with the other participant felt natural.;q1t1;2
radio;I felt that my walking path in the virtual environment accurately matched my physical movements.;q2t1;3
radio;I felt that my hand movements in the virtual environment accurately matched my physical movements.;q3t1;4
radio;The interactions with the other participant felt natural.;q1t2;2
radio;I felt that my walking path in the virtual environment accurately matched my physical movements.;q2t2;4
radio;I felt that my hand movements in the virtual environment accurately matched my physical movements.;q3t2;2
radio;The interactions with the other participant felt natural.;q1t3;3
radio;I felt that my walking path in the virtual environment accurately matched my physical movements.;q2t3;4
radio;I felt that my hand movements in the virtual environment accurately matched my physical movements.;q3t3;3
radio;The interactions with the other participant felt natural.;q1t4;3
radio;I felt that my walking path in the virtual environment accurately matched my physical movements.;q2t4;4
radio;I felt that my hand movements in the virtual environment accurately matched my physical movements.;q3t4;3
radio;The interactions with the other participant felt natural.;q1t5;3
radio;I felt that my walking path in the virtual environment accurately matched my physical movements.;q2t5;4
radio;I felt that my hand movements in the virtual environment accurately matched my physical movements.;q3t5;4
radio;The interactions with the other participant felt natural.;q1t6;4
radio;I felt that my walking path in the virtual environment accurately matched my physical movements.;q2t6;4
radio;I felt that my hand movements in the virtual environment accurately matched my physical movements.;q3t6;4
radio;The interactions with the other participant felt natural.;q1t7;3
radio;I felt that my walking path in the virtual environment accurately matched my physical movements.;q2t7;4
radio;I felt that my hand movements in the virtual environment accurately matched my physical movements.;q3t7;4
radio;The interactions with the other participant felt natural.;q1t8;3
radio;I felt that my walking path in the virtual environment accurately matched my physical movements.;q2t8;5
radio;I felt that my hand movements in the virtual environment accurately matched my physical movements.;q3t8;5

