QuestionType;Question;QuestionID;Answer
radio;The interactions with the other participant felt natural.;q1t25;5
radio;I felt that my walking path in the virtual environment accurately matched my physical movements.;q2t25;5
radio;I felt that my hand movements in the virtual environment accurately matched my physical movements.;q3t25;5
radio;The interactions with the other participant felt natural.;q1t26;5
radio;I felt that my walking path in the virtual environment accurately matched my physical movements.;q2t26;4
radio;I felt that my hand movements in the virtual environment accurately matched my physical movements.;q3t26;5
radio;The interactions with the other participant felt natural.;q1t27;4
radio;I felt that my walking path in the virtual environment accurately matched my physical movements.;q2t27;5
radio;I felt that my hand movements in the virtual environment accurately matched my physical movements.;q3t27;4
radio;The interactions with the other participant felt natural.;q1t28;4
radio;I felt that my walking path in the virtual environment accurately matched my physical movements.;q2t28;4
radio;I felt that my hand movements in the virtual environment accurately matched my physical movements.;q3t28;5
radio;The interactions with the other participant felt natural.;q1t29;5
radio;I felt that my walking path in the virtual environment accurately matched my physical movements.;q2t29;5
radio;I felt that my hand movements in the virtual environment accurately matched my physical movements.;q3t29;4
radio;The interactions with the other participant felt natural.;q1t30;4
radio;I felt that my walking path in the virtual environment accurately matched my physical movements.;q2t30;4
radio;I felt that my hand movements in the virtual environment accurately matched my physical movements.;q3t30;5
radio;The interactions with the other participant felt natural.;q1t31;5
radio;I felt that my walking path in the virtual environment accurately matched my physical movements.;q2t31;5
radio;I felt that my hand movements in the virtual environment accurately matched my physical movements.;q3t31;5
radio;The interactions with the other participant felt natural.;q1t32;4
radio;I felt that my walking path in the virtual environment accurately matched my physical movements.;q2t32;4
radio;I felt that my hand movements in the virtual environment accurately matched my physical movements.;q3t32;4

