QuestionType;Question;QuestionID;Answer
radio;The interactions with the other participant felt natural.;q1t25;1
radio;I felt that my walking path in the virtual environment accurately matched my physical movements.;q2t25;2
radio;I felt that my hand movements in the virtual environment accurately matched my physical movements.;q3t25;2
radio;The interactions with the other participant felt natural.;q1t26;2
radio;I felt that my walking path in the virtual environment accurately matched my physical movements.;q2t26;1
radio;I felt that my hand movements in the virtual environment accurately matched my physical movements.;q3t26;1
radio;The interactions with the other participant felt natural.;q1t27;2
radio;I felt that my walking path in the virtual environment accurately matched my physical movements.;q2t27;1
radio;I felt that my hand movements in the virtual environment accurately matched my physical movements.;q3t27;2
radio;The interactions with the other participant felt natural.;q1t28;2
radio;I felt that my walking path in the virtual environment accurately matched my physical movements.;q2t28;1
radio;I felt that my hand movements in the virtual environment accurately matched my physical movements.;q3t28;2
radio;The interactions with the other participant felt natural.;q1t29;2
radio;I felt that my walking path in the virtual environment accurately matched my physical movements.;q2t29;4
radio;I felt that my hand movements in the virtual environment accurately matched my physical movements.;q3t29;2
radio;The interactions with the other participant felt natural.;q1t30;5
radio;I felt that my walking path in the virtual environment accurately matched my physical movements.;q2t30;4
radio;I felt that my hand movements in the virtual environment accurately matched my physical movements.;q3t30;4
radio;The interactions with the other participant felt natural.;q1t31;2
radio;I felt that my walking path in the virtual environment accurately matched my physical movements.;q2t31;4
radio;I felt that my hand movements in the virtual environment accurately matched my physical movements.;q3t31;2
radio;The interactions with the other participant felt natural.;q1t32;4
radio;I felt that my walking path in the virtual environment accurately matched my physical movements.;q2t32;3
radio;I felt that my hand movements in the virtual environment accurately matched my physical movements.;q3t32;2

