QuestionType;Question;QuestionID;Answer
radio;I felt that my movements in the virtual environment accurately matched my physical movements.;q1_trial1;4
radio;I felt the interactions with the other participant using my virtual hands were natural and intuitive.;q2_trial1;4
radio;I felt that my movements in the virtual environment accurately matched my physical movements.;q1_trial2;3
radio;I felt the interactions with the other participant using my virtual hands were natural and intuitive.;q2_trial2;3
radio;I felt that my movements in the virtual environment accurately matched my physical movements.;q1_trial3;1
radio;I felt the interactions with the other participant using my virtual hands were natural and intuitive.;q2_trial3;5
radio;I felt that my movements in the virtual environment accurately matched my physical movements.;q1_trial4;3
radio;I felt the interactions with the other participant using my virtual hands were natural and intuitive.;q2_trial4;5
radio;I felt that my movements in the virtual environment accurately matched my physical movements.;q1_trial5;5
radio;I felt the interactions with the other participant using my virtual hands were natural and intuitive.;q2_trial5;4
radio;I felt that my movements in the virtual environment accurately matched my physical movements.;q1_trial6;4
radio;I felt the interactions with the other participant using my virtual hands were natural and intuitive.;q2_trial6;5
radio;I felt that my movements in the virtual environment accurately matched my physical movements.;q1_trial7;5
radio;I felt the interactions with the other participant using my virtual hands were natural and intuitive.;q2_trial7;3
radio;I felt that my movements in the virtual environment accurately matched my physical movements.;q1_trial8;3
radio;I felt the interactions with the other participant using my virtual hands were natural and intuitive.;q2_trial8;5
radio;I felt that my movements in the virtual environment accurately matched my physical movements.;q1_trial9;4
radio;I felt the interactions with the other participant using my virtual hands were natural and intuitive.;q2_trial9;5
radio;I felt that my movements in the virtual environment accurately matched my physical movements.;q1_trial10;3
radio;I felt the interactions with the other participant using my virtual hands were natural and intuitive.;q2_trial10;4
radio;I felt that my movements in the virtual environment accurately matched my physical movements.;q1_trial11;5
radio;I felt the interactions with the other participant using my virtual hands were natural and intuitive.;q2_trial11;3
radio;I felt that my movements in the virtual environment accurately matched my physical movements.;q1_trial12;3
radio;I felt the interactions with the other participant using my virtual hands were natural and intuitive.;q2_trial12;4
radio;I felt that my movements in the virtual environment accurately matched my physical movements.;q1_trial13;2
radio;I felt the interactions with the other participant using my virtual hands were natural and intuitive.;q2_trial13;3
radio;I felt that my movements in the virtual environment accurately matched my physical movements.;q1_trial14;3
radio;I felt the interactions with the other participant using my virtual hands were natural and intuitive.;q2_trial14;4
radio;I felt that my movements in the virtual environment accurately matched my physical movements.;q1_trial15;4
radio;I felt the interactions with the other participant using my virtual hands were natural and intuitive.;q2_trial15;3
radio;I felt that my movements in the virtual environment accurately matched my physical movements.;q1_trial16;3
radio;I felt the interactions with the other participant using my virtual hands were natural and intuitive.;q2_trial16;4
radio;I felt that my movements in the virtual environment accurately matched my physical movements.;q1_trial17;5
radio;I felt the interactions with the other participant using my virtual hands were natural and intuitive.;q2_trial17;3
radio;I felt that my movements in the virtual environment accurately matched my physical movements.;q1_trial18;3
radio;I felt the interactions with the other participant using my virtual hands were natural and intuitive.;q2_trial18;4
radio;I felt that my movements in the virtual environment accurately matched my physical movements.;q1_trial19;5
radio;I felt the interactions with the other participant using my virtual hands were natural and intuitive.;q2_trial19;3
radio;I felt that my movements in the virtual environment accurately matched my physical movements.;q1_trial20;3
radio;I felt the interactions with the other participant using my virtual hands were natural and intuitive.;q2_trial20;5

